,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1933-12-31,7.9,17.2,33.5,42.5,83.0,194.1,284.9,342.3,360.8,384.2,395.8,403.6
1934-12-31,8.1,26.0,54.2,60.3,107.0,148.2,189.3,233.8,276.1,315.8,358.0,359.6
1935-12-31,1.7,9.3,22.4,66.4,129.2,173.0,223.5,274.6,316.3,327.9,357.5,361.5
1936-12-31,25.3,30.7,44.4,50.7,104.7,127.5,183.0,239.6,297.3,307.8,347.5,382.2
1937-12-31,5.3,6.9,38.2,66.1,107.5,211.8,299.7,320.3,340.6,360.8,371.2,386.2
1938-12-31,19.6,25.4,35.7,78.4,140.2,172.3,210.6,255.3,312.1,333.0,347.2,356.2
1939-12-31,3.7,38.8,48.5,75.6,143.1,161.3,201.4,281.7,301.6,308.7,320.1,328.0
1940-12-31,5.7,47.6,64.6,120.0,157.2,230.5,262.2,285.2,322.7,339.6,381.1,385.7
1941-12-31,28.5,36.4,38.4,116.6,243.2,361.4,434.3,510.6,597.5,630.1,641.8,656.6
1942-12-31,7.1,8.2,13.9,35.5,112.5,267.7,291.0,349.2,368.7,399.5,401.5,431.8
1943-12-31,33.8,45.1,74.3,90.4,123.4,179.0,252.1,330.8,368.8,387.7,430.6,436.6
1944-12-31,8.1,10.3,25.1,42.8,117.3,246.0,292.7,376.9,435.1,470.2,486.5,503.9
1945-12-31,0.4,1.8,11.3,45.2,157.3,272.7,388.2,463.9,470.1,512.9,525.3,531.9
1946-12-31,2.8,7.1,29.9,59.8,93.9,125.5,171.9,217.0,311.7,335.4,341.9,348.4
1947-12-31,0.8,1.5,44.7,58.1,108.3,136.5,248.1,292.9,317.2,344.0,356.0,358.9
1948-12-31,4.8,13.0,54.9,79.2,138.3,179.9,254.0,278.3,344.0,397.8,404.9,415.3
1949-12-31,6.2,9.1,13.9,59.5,97.1,136.4,188.7,241.6,284.5,314.1,360.4,365.7
1950-12-31,2.1,3.6,11.7,76.6,91.6,119.1,259.3,270.7,332.8,359.3,398.3,419.0
1951-12-31,25.2,27.4,30.8,74.5,109.3,241.2,301.8,351.4,396.0,429.5,468.0,469.2
1952-12-31,1.6,13.0,22.5,41.9,105.1,148.0,221.5,310.0,362.1,383.4,435.1,439.0
1953-12-31,1.7,8.8,15.6,127.7,233.9,262.9,343.5,411.2,418.0,434.3,460.6,478.7
1954-12-31,6.1,15.1,43.4,94.8,236.1,296.9,438.6,533.5,556.8,582.5,591.7,608.1
1955-12-31,3.7,73.4,81.6,111.3,126.4,199.1,293.7,420.1,437.4,488.4,515.8,525.8
1956-12-31,8.3,16.9,40.3,54.4,120.2,213.5,276.1,338.4,356.9,385.9,388.9,410.0
1957-12-31,3.5,46.3,68.0,84.3,195.9,307.3,404.3,484.7,515.1,579.9,583.0,586.3
1958-12-31,4.0,27.3,44.6,70.3,153.2,199.1,210.5,277.7,293.1,320.6,338.9,340.6
1959-12-31,9.4,21.9,38.3,103.1,271.3,289.0,318.6,390.3,414.5,451.9,453.7,464.1
1960-12-31,6.3,10.2,29.6,51.7,106.4,174.9,193.3,212.3,235.1,246.8,251.4,277.8
1961-12-31,28.9,32.8,47.7,94.8,134.1,214.4,260.8,323.0,388.7,406.9,409.4,414.6
1962-12-31,11.8,27.0,44.5,87.4,106.0,288.0,342.0,459.0,478.4,550.8,581.3,582.7
1963-12-31,20.3,23.8,30.3,43.8,67.9,123.5,197.4,306.3,328.8,340.9,366.7,385.8
1964-12-31,2.2,29.3,40.3,54.0,78.7,179.5,229.0,293.4,318.0,344.1,388.1,390.9
1965-12-31,9.8,30.0,80.5,119.9,162.4,189.6,219.7,263.1,283.0,309.7,321.0,347.5
1966-12-31,4.0,8.5,46.6,71.8,90.6,151.1,223.6,270.0,306.8,310.6,316.0,319.2
1967-12-31,3.6,10.9,24.7,99.1,144.1,262.6,299.2,340.8,365.2,392.8,420.9,423.5
1968-12-31,8.3,15.2,24.2,68.2,152.3,226.2,305.9,368.0,375.7,435.1,445.9,455.4
1969-12-31,11.2,20.6,29.9,73.9,80.5,120.0,144.8,185.6,224.3,266.7,271.4,274.0
1970-12-31,3.8,24.0,25.5,28.4,91.0,178.6,251.6,310.6,339.9,361.0,369.9,382.9
1971-12-31,4.8,8.1,25.2,36.2,69.2,110.2,190.1,262.9,271.8,285.1,291.8,301.5
1972-12-31,19.2,31.0,49.1,86.7,142.4,188.5,221.8,260.4,290.1,299.2,300.6,320.7
1973-12-31,3.3,7.5,40.1,48.6,79.8,94.6,202.7,251.4,288.8,305.5,314.9,343.9
1974-12-31,5.4,19.6,30.1,33.5,104.0,207.9,243.8,454.8,489.0,534.5,551.8,557.1
1975-12-31,21.9,29.2,39.7,67.3,180.4,221.5,295.0,353.7,364.8,399.0,414.8,424.9
1976-12-31,9.9,30.3,50.0,95.4,135.2,286.8,361.0,392.6,424.0,442.8,525.0,568.8
1977-12-31,11.6,46.1,63.7,124.7,255.1,369.7,482.5,568.4,598.0,610.6,632.7,654.3
1978-12-31,10.6,22.0,44.1,76.3,97.0,107.6,127.8,220.8,261.5,285.2,295.6,316.2
1979-12-31,12.7,40.3,45.0,53.4,121.4,194.5,233.9,281.1,320.2,363.9,369.4,371.0
1980-12-31,15.2,24.0,30.1,56.0,123.5,198.9,219.4,280.0,296.8,315.6,383.4,407.3
1981-12-31,60.8,73.9,109.6,141.8,156.3,193.4,298.9,384.1,458.7,475.2,487.6,498.8
1982-12-31,18.6,19.7,40.3,118.5,152.1,216.9,265.6,304.1,313.2,351.9,364.1,383.1
1983-12-31,3.8,32.1,54.3,67.3,183.1,283.7,367.8,397.5,461.9,467.6,481.2,489.1
1984-12-31,3.9,8.5,45.1,71.5,206.0,232.8,277.3,306.7,384.4,445.8,448.7,493.6
1985-12-31,36.8,59.4,109.2,150.3,190.6,257.7,350.5,410.2,445.3,469.2,486.1,514.7
1986-12-31,5.0,19.5,52.8,80.0,101.1,205.6,276.6,374.6,409.2,424.6,439.1,442.5
1987-12-31,11.3,22.6,29.1,80.8,154.4,227.2,299.0,381.1,427.9,433.7,437.5,459.2
1988-12-31,2.0,4.8,27.3,84.4,119.1,180.1,226.2,295.7,336.8,350.4,356.8,370.5
1989-12-31,5.8,18.6,69.7,131.1,173.3,229.9,298.4,380.3,441.7,473.0,494.0,496.0
1990-12-31,7.2,34.3,38.4,140.0,213.6,302.5,383.8,412.8,425.1,433.6,447.6,461.8
1991-12-31,14.9,20.3,32.4,51.6,106.3,212.7,351.4,372.1,439.9,494.2,501.6,505.5
1992-12-31,1.3,18.5,40.2,77.2,120.7,232.1,299.7,344.0,377.4,443.6,454.0,456.5
1993-12-31,3.3,24.5,29.9,172.5,248.9,313.6,447.3,489.1,500.0,502.1,508.3,525.8
1994-12-31,5.7,9.7,25.0,59.9,90.8,258.3,303.6,319.0,354.9,374.5,377.1,395.6
1995-12-31,12.0,18.0,39.5,48.8,101.9,160.2,236.4,293.8,313.6,373.0,390.3,447.7
1996-12-31,3.8,25.1,36.8,57.1,100.9,193.5,285.2,365.2,440.8,499.3,569.7,598.5
1997-12-31,5.1,6.1,29.3,56.2,116.3,262.8,290.1,339.7,341.4,349.1,397.3,407.9
1998-12-31,16.3,20.7,35.2,55.5,165.2,200.9,262.9,294.9,315.1,325.1,370.0,413.8
1999-12-31,3.9,8.9,10.4,51.1,86.3,136.1,160.0,185.8,234.3,238.7,248.9,267.3
2000-12-31,19.3,33.4,62.9,71.7,104.1,142.9,224.1,262.6,313.8,319.1,329.9,337.0
2001-12-31,5.0,10.0,17.8,53.0,118.5,143.5,309.1,393.0,447.0,479.0,497.9,503.9
2002-12-31,47.2,66.4,73.5,102.3,184.4,236.3,328.1,392.4,421.9,443.3,455.6,475.5
2003-12-31,6.9,11.2,68.7,85.1,111.3,119.7,139.8,247.4,289.3,319.2,321.0,339.9
2004-12-31,10.3,11.7,23.6,73.7,78.1,142.8,197.5,231.5,252.4,323.0,326.4,342.1
2005-12-31,25.0,26.5,33.1,111.0,155.0,232.4,265.8,346.0,370.5,382.9,403.3,403.5
2006-12-31,2.9,9.5,14.0,43.5,152.9,204.9,270.9,346.8,366.4,384.5,409.3,420.1
2007-12-31,1.7,19.8,34.9,78.7,143.8,258.2,355.6,416.2,431.4,459.1,500.2,539.5
2008-12-31,6.4,28.5,37.2,46.9,95.5,159.1,305.3,378.1,462.0,475.7,537.2,551.0
2009-12-31,0.9,8.8,12.9,46.9,114.7,227.3,282.3,337.4,372.6,400.6,454.2,455.6
2010-12-31,2.8,21.6,31.0,37.8,130.2,198.2,235.2,269.8,293.1,323.9,340.9,372.9
2011-12-31,2.7,10.6,19.1,40.1,118.0,220.7,249.6,293.1,315.2,330.6,353.9,363.7
2012-12-31,7.2,11.0,27.5,72.9,97.4,178.5,235.3,349.5,386.6,419.1,427.9,445.3
2013-12-31,4.8,18.0,34.7,87.7,128.1,247.7,299.3,456.0,510.8,544.6,593.0,597.6
2014-12-31,55.4,61.2,89.8,113.9,172.0,274.0,355.0,422.5,445.6,451.5,487.9,489.2
2015-12-31,9.0,14.4,20.3,24.4,37.5,142.0,222.5,261.3,284.1,289.5,306.1,311.3
2016-12-31,19.7,23.3,50.7,87.3,105.4,186.1,259.5,298.2,329.7,336.9,340.7,345.5
2017-12-31,13.9,16.0,20.4,35.8,39.8,109.3,136.1,168.8,178.5,194.2,220.4,223.6
