Country|Station|LAT|LON|Period of homogeneous data
Algeria|Alger Dar-El-Beida|36.41|3.13|1971–2009
Algeria|Annaba|36.5|7.48|1970–2009
Algeria|Ghardaia|32.24|3.48|1964–2009
Algeria|Oran Sennia|35.38|0.36|1971–2009
Algeria|Tamanrasset|22.48|5.26|1950–2009
Bahrain|Bahrain Airport|26.26|50.6|1950–2008
Djibouti|Djibouti|11.57|43.15|1980–2009
Egypt|Cairo Airport|30.13|31.4|1976–2007
Egypt|Alexandria|31.2|29.88|1976–2005
Jordan|Mafraq|32.36|36.25|1964–2011
Jordan|Rwashed|32.5|38.2|1974–2011
Kuwait|Kuwait Intl Airport|29.22|47.96|1981–2011
Libya|Derna|32.4|22.72|1956–2010
Libya|Kufra|24.2|23.3|1979–2010
Libya|Misurata|32.42|15.05|1979–2010
Libya|Tazerbo|25.8|21.13|1963–2002
Libya|Tripoli AP|32.66|13.15|1980–2010
Libya|Zuara|32.88|12.08|1956–2010
Mauritania|Atar|20.51|-13.05|1965–2010
Mauritania|Bir Moghrein|25.23|-11.58|1978–2006
Mauritania|Boutilimit|17.54|-14.7|1969–2010
Mauritania|Ching|20.46|-12.36|1965–2010
Mauritania|Kaedi|16.15|-13.5|1969–2010
Mauritania|Kiffa|16.62|-11.4|1977–2010
Mauritania|Nema|16.61|-7.26|1974–2010
Mauritania|Nouakchott|18.08|-16|1965–2010
Mauritania|Rosso|16.5|-15.77|1969–2007
Mauritania|Tidjkja|18.55|-11.43|1977–2010
Morocco|Laayoune|27.17|-13.22|1976–2011
Morocco|Rabat|34.05|-6.77|1978–2011
Morocco|Fes|33.97|-4.98|1961–2011
Morocco|Safi|32.28|-9.23|1975–2011
Morocco|Midelt|32.68|-4.73|1977–2011
Morocco|Marrakech|31.62|-8.03|1971–2011
Morocco|Tanger|35.72|-5.9|1972–2011
Saudi Arabia|Bisha|20|42.64|1977–2010
Saudi Arabia|Dharan|26.27|50.15|1970–2004
Saudi Arabia|Hail|27.45|41.7|1978–2011
Saudi Arabia|Jeddah|21.7|39.2|1981–2011
Saudi Arabia|Madinah|24.55|39.7|1970–2011
Saudi Arabia|Riyadh|24.7|46.74|1970–2010
Saudi Arabia|Taif|21.5|40.55|1977–2010
Sudan|Abudamed|19.32|33.2|1943–2011
Sudan|El Fasher|13.37|25.2|1940–2009
Sudan|Gadaref|14.02|35.24|1943–2009
Sudan|Juba|4.52|31.36|1950–2009
Sudan|Khartoum|15.36|32.33|1945–2009
Sudan|Senar|13.33|33.37|1950–2009
Syria|Safita|34.82|36.12|1965–2003
Syria|Kamishli|37.03|41.22|1968–2003
Tunisia|Bizerte|37.27|9.87|1972–2009
Tunisia|Jendouba|36.5|8.17|1973–2009
Tunisia|Mednine|33.35|10.48|1978–2009
Tunisia|Monastir|35.75|10.91|1969–2009
Tunisia|Tozeur|33.93|8.13|1966–2009
UAE|Abu Dhabi|24.43|54.65|1982–2011
UAE|Dubai|25.25|55.33|1975–2011
UAE|Ras Al Khimah|25.62|55.93|1977–2011
UAE|Sharjah|25.33|55.52|1977–2011
